0,1,2,3,4
Jan 29,00:45:41,192.168.17.24 DST=192.168.9.51 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,00:45:41,192.168.17.24 DST=192.168.10.60 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,00:45:41,192.168.17.24 DST=192.168.9.51 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,00:45:41,192.168.17.24 DST=192.168.10.60 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,00:45:47,162.86.171.88 DST=216.58.112.55 LEN=374 TOS=0x00 PREC=0x00 TTL=55 ID=9122 PROTO=UDP SPT=31105,1026,354
Jan 29,00:46:05,24.64.125.106 DST=216.58.112.55 LEN=512 TOS=0x00 PREC=0x00 TTL=70 ID=46894 PROTO=UDP SPT=23816,1026,492
Jan 29,00:48:41,192.168.17.24 DST=192.168.9.51 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,00:48:41,192.168.17.24 DST=192.168.10.60 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,00:48:41,192.168.17.24 DST=192.168.9.51 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,00:48:41,192.168.17.24 DST=192.168.10.60 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,00:51:17,24.64.232.7 DST=216.58.112.55 LEN=512 TOS=0x00 PREC=0x00 TTL=71 ID=1485 PROTO=UDP SPT=33255,1026,492
Jan 29,00:51:17,24.64.232.7 DST=216.58.112.55 LEN=512 TOS=0x00 PREC=0x00 TTL=71 ID=1486 PROTO=UDP SPT=33255,1027,492
Jan 29,00:51:17,24.64.232.7 DST=216.58.112.55 LEN=512 TOS=0x00 PREC=0x00 TTL=71 ID=1487 PROTO=UDP SPT=33255,1028,492
Jan 29,00:51:41,192.168.17.24 DST=192.168.9.51 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,00:51:41,192.168.17.24 DST=192.168.10.60 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,00:51:41,192.168.17.24 DST=192.168.9.51 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,00:51:41,192.168.17.24 DST=192.168.10.60 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,00:52:15,24.64.240.226 DST=216.58.112.55 LEN=512 TOS=0x00 PREC=0x00 TTL=70 ID=24076 PROTO=UDP SPT=33574,1026,492
Jan 29,00:52:15,24.64.240.226 DST=216.58.112.55 LEN=512 TOS=0x00 PREC=0x00 TTL=70 ID=24077 PROTO=UDP SPT=33574,1027,492
Jan 29,00:52:15,24.64.240.226 DST=216.58.112.55 LEN=512 TOS=0x00 PREC=0x00 TTL=70 ID=24078 PROTO=UDP SPT=33574,1028,492
Jan 29,00:54:02,60.87.149.61 DST=216.58.112.55 LEN=386 TOS=0x00 PREC=0x00 TTL=55 ID=25880 PROTO=UDP SPT=31105,1026,366
Jan 29,00:54:49,192.168.17.24 DST=192.168.9.51 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,00:54:49,192.168.17.24 DST=192.168.10.60 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,00:54:49,192.168.17.24 DST=192.168.9.51 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,00:54:49,192.168.17.24 DST=192.168.10.60 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,00:55:18,24.64.31.188 DST=216.58.112.55 LEN=512 TOS=0x00 PREC=0x00 TTL=71 ID=49600 PROTO=UDP SPT=24255,1026,492
Jan 29,00:55:18,24.64.31.188 DST=216.58.112.55 LEN=512 TOS=0x00 PREC=0x00 TTL=71 ID=49601 PROTO=UDP SPT=24255,1027,492
Jan 29,00:55:18,24.64.31.188 DST=216.58.112.55 LEN=512 TOS=0x00 PREC=0x00 TTL=71 ID=49602 PROTO=UDP SPT=24255,1028,492
Jan 29,00:55:24,163.140.169.38 DST=216.58.112.55 LEN=387 TOS=0x00 PREC=0x00 TTL=55 ID=30770 PROTO=UDP SPT=31105,1026,367
Jan 29,00:57:44,192.168.17.24 DST=192.168.9.51 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,00:57:44,192.168.17.24 DST=192.168.10.60 LEN=235 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,215
Jan 29,00:57:44,192.168.17.24 DST=192.168.9.51 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
Jan 29,00:57:44,192.168.17.24 DST=192.168.10.60 LEN=204 TOS=0x00 PREC=0x00 TTL=63 ID=0 DF PROTO=UDP SPT=138,138,184
